EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,BusinessTravel,DistanceFromHome,MonthlyIncome,PercentSalaryHike,YearsAtCompany,YearsInCurrentRole,NumCompaniesWorked,TrainingTimesLastYear,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,Attrition
1015,56,Male,Single,Research & Development,Laboratory Technician,Other,Travel_Rarely,18,5787.0,16,21,18,3,5,4,2.0,3,4,3,No,0
1016,51,Female,Single,Sales,Sales Representative,Other,Travel_Rarely,8,7141.0,21,16,5,8,1,2,4.0,1,1,3,No,1
1017,34,Female,Married,Research & Development,Manufacturing Director,Marketing,Travel_Frequently,20,10661.0,16,5,1,0,3,3,3.0,2,4,3,Yes,0
1018,22,Male,Single,Sales,Sales Executive,Human Resources,Travel_Rarely,23,6304.0,14,0,0,6,2,2,2.0,3,3,3,No,1
1019,48,Male,Married,Research & Development,Manufacturing Director,Life Sciences,Travel_Frequently,1,10560.0,14,12,7,0,3,3,2.0,4,3,3,No,0
1020,37,Male,Single,Research & Development,Manufacturing Director,Other,Travel_Rarely,17,11468.0,22,8,7,4,2,4,2.0,2,1,3,No,0
1021,59,Male,Single,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,15,3836.0,17,7,6,6,2,4,4.0,2,4,3,No,0
1022,47,Female,Married,Research & Development,Research Scientist,Human Resources,Travel_Rarely,11,5216.0,16,16,12,8,4,3,1.0,2,2,3,No,0
1023,41,Male,Married,Human Resources,Human Resources,Other,Travel_Rarely,2,5133.0,21,11,2,2,3,2,1.0,2,3,3,Yes,1
1024,59,Male,Divorced,Research & Development,Research Scientist,Human Resources,Travel_Frequently,3,4923.0,16,11,6,0,3,3,2.0,4,1,3,No,0
1025,52,Male,Married,Research & Development,Laboratory Technician,Other,Travel_Rarely,22,4425.0,15,14,12,6,4,2,2.0,3,4,3,No,0
1026,38,Male,Married,Sales,Sales Representative,Life Sciences,Travel_Rarely,24,3924.0,21,6,3,8,2,1,4.0,2,2,3,No,0
1027,20,Male,Married,Research & Development,Research Scientist,Medical,Travel_Rarely,13,3657.0,15,0,0,5,4,3,1.0,2,4,4,Yes,1
1028,23,Female,Married,Sales,Manager,Technical Degree,Travel_Rarely,28,11827.0,18,1,1,0,4,1,4.0,3,4,3,Yes,0
1029,37,Female,Single,Sales,Sales Executive,Technical Degree,Travel_Rarely,27,6054.0,20,0,0,4,5,2,4.0,3,3,3,Yes,0
1030,42,Male,Married,Research & Development,Manager,Life Sciences,Travel_Rarely,20,11690.0,13,1,1,3,2,3,2.0,2,1,3,No,1
1031,21,Female,Married,Research & Development,Manufacturing Director,Human Resources,Travel_Rarely,17,9195.0,12,0,0,4,3,4,4.0,4,2,3,No,0
1032,25,Male,Single,Human Resources,Human Resources,Life Sciences,Travel_Rarely,28,3870.0,22,3,1,0,0,3,4.0,2,3,4,No,1
1033,48,Male,Married,Sales,Sales Representative,Other,Travel_Rarely,18,3503.0,15,7,3,2,0,4,4.0,2,3,4,Yes,0
1034,50,Male,Married,Research & Development,Research Scientist,Life Sciences,Non-Travel,28,6472.0,15,16,11,8,0,4,2.0,1,3,3,Yes,1
1035,21,Female,Married,Research & Development,Research Scientist,Marketing,Travel_Rarely,29,4320.0,19,0,0,0,3,1,2.0,2,1,4,No,1
1036,40,Female,Single,Sales,Manager,Human Resources,Travel_Rarely,6,13077.0,12,3,1,8,1,4,4.0,4,3,3,Yes,0
1037,23,Female,Married,Sales,Manager,Technical Degree,Travel_Rarely,20,13372.0,11,2,1,4,1,2,2.0,4,1,3,No,0
1038,48,Male,Divorced,Research & Development,Research Scientist,Human Resources,Travel_Rarely,22,5686.0,16,9,7,5,3,3,1.0,2,2,3,Yes,1
1039,53,Male,Single,Sales,Sales Executive,Human Resources,Travel_Rarely,24,7610.0,24,7,4,8,2,1,3.0,1,1,3,No,1
1040,54,Female,Married,Research & Development,Research Scientist,Other,Travel_Frequently,11,4764.0,19,1,1,1,0,3,2.0,3,3,3,No,0
1041,43,Male,Single,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,25,3520.0,19,2,2,8,3,3,4.0,3,3,3,No,1
1042,45,Female,Single,Research & Development,Laboratory Technician,Other,Travel_Rarely,15,3270.0,19,2,1,2,3,4,4.0,4,4,3,No,0
1043,57,Female,Divorced,Research & Development,Laboratory Technician,Technical Degree,Travel_Rarely,12,3942.0,23,8,2,3,0,4,1.0,3,2,4,No,0
1044,44,Male,Married,Sales,Sales Representative,Other,Travel_Rarely,5,3667.0,22,9,7,4,1,4,4.0,1,1,3,No,0
1045,37,Female,Married,Research & Development,Research Scientist,Human Resources,Travel_Rarely,10,5063.0,11,3,1,5,1,3,4.0,4,1,3,Yes,1
1046,50,Female,Single,Research & Development,Manager,Life Sciences,Travel_Rarely,29,12101.0,18,1,1,2,4,4,4.0,3,4,4,No,0
1047,43,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,Travel_Rarely,21,11150.0,18,4,2,7,1,1,2.0,4,4,3,Yes,0
1048,53,Female,Single,Sales,Manager,Other,Travel_Rarely,22,13509.0,14,8,4,0,0,4,3.0,1,1,3,No,0
1049,40,Female,Married,Research & Development,Research Scientist,Life Sciences,Travel_Rarely,26,5264.0,24,12,7,5,1,1,4.0,2,3,3,No,0
1050,54,Male,Single,Sales,Manager,Other,Travel_Rarely,8,13708.0,14,8,5,5,2,2,4.0,2,2,3,No,0
1051,21,Female,Single,Sales,Manager,Life Sciences,Travel_Rarely,20,10464.0,22,0,0,4,4,4,2.0,2,2,3,Yes,0
1052,21,Male,Married,Sales,Sales Executive,Other,Travel_Rarely,11,7658.0,12,0,0,5,0,3,3.0,4,3,3,Yes,0
1053,23,Female,Single,Research & Development,Manager,Human Resources,Travel_Rarely,25,11437.0,19,2,2,6,5,4,2.0,1,4,3,Yes,1
1054,42,Female,Married,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,13,4497.0,21,10,2,8,1,3,2.0,1,1,3,No,0
1055,48,Female,Single,Research & Development,Manager,Human Resources,Travel_Frequently,25,13936.0,18,14,10,1,2,3,3.0,1,4,4,No,1
1056,28,Male,Married,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,22,4154.0,12,4,3,4,0,1,2.0,4,1,4,No,1
1057,26,Female,Married,Research & Development,Manager,Technical Degree,Travel_Rarely,23,12043.0,12,2,1,5,1,4,1.0,1,3,3,No,1
1058,54,Male,Married,Research & Development,Research Scientist,Other,Travel_Frequently,27,5313.0,19,20,5,3,2,3,3.0,3,1,4,Yes,0
1059,50,Male,Single,Sales,Sales Representative,Medical,Travel_Rarely,23,3124.0,23,1,1,8,3,3,2.0,1,1,4,No,1
1060,45,Male,Married,Sales,Sales Executive,Medical,Travel_Rarely,10,7929.0,19,13,10,4,4,2,3.0,2,1,4,No,0
1061,39,Male,Divorced,Research & Development,Research Scientist,Marketing,Travel_Rarely,16,4170.0,12,10,4,5,3,4,2.0,3,4,3,No,0
1062,36,Male,Single,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,14,4107.0,21,9,5,1,0,2,4.0,1,3,3,No,0
1063,20,Male,Single,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,2,2354.0,17,0,0,3,2,1,4.0,1,3,3,No,1
1064,27,Female,Divorced,Research & Development,Research Scientist,Marketing,Travel_Rarely,18,4949.0,12,3,1,5,4,1,2.0,3,1,4,Yes,1
1065,55,Male,Single,Research & Development,Manufacturing Director,Medical,Travel_Rarely,13,10132.0,16,4,3,3,3,3,3.0,1,4,3,No,0
1066,33,Male,Married,Research & Development,Manufacturing Director,Life Sciences,Travel_Rarely,12,11577.0,13,5,3,6,3,3,1.0,2,4,4,No,0
1067,48,Male,Married,Research & Development,Manager,Medical,Travel_Rarely,4,12566.0,24,6,2,1,3,1,4.0,3,2,3,No,0
1068,48,Male,Single,Sales,Manager,Life Sciences,Travel_Rarely,15,13458.0,23,10,8,1,3,3,1.0,1,4,3,Yes,1
1069,32,Female,Married,Sales,Sales Executive,Other,Travel_Rarely,17,6972.0,12,5,2,3,5,4,4.0,1,1,3,No,1
1070,28,Male,Married,Research & Development,Research Scientist,Other,Travel_Frequently,4,3466.0,19,2,2,2,3,3,4.0,2,2,4,No,0
1071,47,Male,Single,Sales,Sales Representative,Marketing,Travel_Rarely,19,3557.0,11,4,2,7,3,4,1.0,3,1,3,Yes,1
1072,23,Female,Divorced,Research & Development,Laboratory Technician,Other,Travel_Frequently,5,3572.0,17,1,1,7,2,1,1.0,1,1,3,No,1
1073,39,Female,Single,Research & Development,Research Scientist,Marketing,Travel_Rarely,5,5521.0,13,8,4,4,2,2,3.0,2,4,4,No,1
1074,55,Female,Married,Sales,Manager,Other,Non-Travel,12,13504.0,21,14,7,4,4,3,4.0,4,2,3,No,0
1075,48,Female,Divorced,Sales,Sales Representative,Medical,Travel_Rarely,12,3766.0,12,12,9,2,5,2,3.0,2,3,3,Yes,0
1076,50,Female,Single,Sales,Manager,Medical,Travel_Rarely,27,12627.0,23,2,1,4,4,1,1.0,2,4,3,No,1
1077,23,Male,Divorced,Sales,Sales Executive,Human Resources,Non-Travel,2,6872.0,14,1,1,6,3,2,3.0,3,4,3,No,1
1078,27,Female,Single,Research & Development,Manager,Medical,Travel_Frequently,11,12866.0,14,3,1,6,4,2,2.0,2,2,3,No,0
1079,31,Female,Married,Research & Development,Research Scientist,Human Resources,Travel_Rarely,22,4036.0,23,0,0,8,0,1,4.0,2,2,3,No,1
1080,31,Male,Single,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,8,2229.0,23,2,1,5,1,2,4.0,4,1,3,No,1
1081,27,Male,Married,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,29,3560.0,12,2,1,3,1,2,4.0,1,4,3,No,1
1082,58,Male,Divorced,Research & Development,Manager,Marketing,Travel_Rarely,22,12955.0,12,8,4,0,3,4,2.0,3,4,3,No,0
1083,26,Female,Divorced,Research & Development,Laboratory Technician,Human Resources,Travel_Rarely,28,3835.0,22,0,0,6,4,2,2.0,2,3,3,No,1
1084,48,Female,Divorced,Sales,Sales Executive,Life Sciences,Travel_Frequently,28,6877.0,24,3,2,7,0,2,4.0,4,2,3,No,0
1085,43,Female,Married,Sales,Sales Representative,Human Resources,Travel_Rarely,4,3173.0,17,0,0,4,1,2,1.0,3,4,3,Yes,1
1086,44,Male,Married,Sales,Sales Representative,Human Resources,Travel_Rarely,14,3570.0,13,1,1,8,2,3,1.0,4,2,3,No,1
1087,28,Male,Married,Research & Development,Research Scientist,Human Resources,Non-Travel,22,3962.0,13,1,1,2,5,2,1.0,1,2,4,Yes,0
1088,32,Male,Divorced,Research & Development,Research Scientist,Other,Travel_Rarely,1,4533.0,14,6,5,0,0,4,3.0,1,4,3,No,1
1089,44,Male,Married,Sales,Sales Executive,Human Resources,Travel_Frequently,14,7401.0,20,8,2,5,5,2,1.0,4,2,3,Yes,0
1090,31,Female,Divorced,Research & Development,Laboratory Technician,Technical Degree,Travel_Frequently,20,2808.0,12,3,2,1,1,2,3.0,2,4,3,No,1
1091,47,Female,Single,Sales,Sales Representative,Marketing,Travel_Rarely,23,4383.0,19,11,3,0,1,1,1.0,4,1,3,No,1
1092,21,Female,Married,Research & Development,Laboratory Technician,Marketing,Travel_Frequently,13,4164.0,22,0,0,6,3,4,4.0,3,2,3,No,0
1093,22,Female,Married,Research & Development,Manufacturing Director,Human Resources,Travel_Rarely,26,10426.0,13,0,0,3,4,2,2.0,2,2,3,No,0
1094,49,Female,Single,Research & Development,Research Scientist,Marketing,Travel_Rarely,20,4865.0,24,4,2,5,5,1,1.0,1,2,3,Yes,1
1095,44,Male,Single,Sales,Manager,Technical Degree,Travel_Rarely,2,13291.0,24,3,2,6,0,1,3.0,1,4,3,No,0
1096,21,Male,Divorced,Research & Development,Manager,Life Sciences,Non-Travel,9,11505.0,15,0,0,3,0,2,2.0,3,2,3,No,0
1097,55,Male,Married,Research & Development,Research Scientist,Medical,Travel_Rarely,28,6894.0,12,10,4,5,2,4,2.0,1,4,3,No,0
1098,20,Male,Single,Sales,Sales Executive,Medical,Travel_Rarely,1,6224.0,15,0,0,4,3,1,3.0,1,1,3,No,1
1099,58,Male,Married,Sales,Sales Executive,Marketing,Travel_Rarely,4,9262.0,14,13,3,5,1,1,4.0,1,2,3,No,1
1100,49,Male,Married,Human Resources,Human Resources,Technical Degree,Travel_Frequently,10,7040.0,14,17,14,6,3,3,4.0,4,2,3,Yes,0
1101,59,Female,Married,Human Resources,Human Resources,Human Resources,Travel_Frequently,29,3588.0,23,7,5,3,1,2,2.0,3,3,3,No,1
1102,57,Male,Divorced,Research & Development,Research Scientist,Marketing,Travel_Rarely,21,6520.0,13,12,9,4,5,4,4.0,3,1,3,No,1
1103,32,Female,Divorced,Sales,Sales Executive,Life Sciences,Travel_Rarely,5,6690.0,15,3,2,5,1,4,1.0,3,2,3,No,0
1104,50,Female,Married,Human Resources,Human Resources,Technical Degree,Travel_Rarely,12,5019.0,22,13,10,1,3,3,4.0,3,3,3,No,0
1105,28,Female,Married,Research & Development,Manufacturing Director,Life Sciences,Travel_Rarely,28,10595.0,11,4,2,1,3,2,4.0,2,2,3,No,0
1106,38,Female,Married,Research & Development,Laboratory Technician,Other,Travel_Rarely,7,3355.0,11,8,2,0,0,3,3.0,2,4,4,No,1
1107,29,Male,Divorced,Research & Development,Manager,Human Resources,Travel_Rarely,17,12421.0,15,1,0,1,3,3,3.0,3,2,3,No,1
1108,39,Female,Single,Sales,Sales Representative,Medical,Travel_Rarely,14,3236.0,24,5,4,3,0,2,3.0,4,4,3,No,0
1109,54,Male,Single,Sales,Manager,Medical,Travel_Rarely,23,14146.0,22,17,15,8,3,2,1.0,4,1,3,Yes,0
1110,37,Female,Divorced,Human Resources,Human Resources,Life Sciences,Travel_Rarely,22,5081.0,23,4,3,8,3,4,4.0,3,4,4,No,0
1111,23,Male,Divorced,Research & Development,Manufacturing Director,Marketing,Travel_Rarely,25,10272.0,23,2,1,6,0,3,3.0,4,2,4,No,0
1112,32,Male,Single,Sales,Manager,Life Sciences,Travel_Frequently,4,12144.0,12,3,1,5,1,2,4.0,4,1,3,Yes,1
1113,51,Female,Married,Sales,Sales Executive,Other,Non-Travel,14,7905.0,16,9,7,1,1,4,1.0,3,3,3,No,1
1114,40,Female,Married,Research & Development,Manager,Life Sciences,Travel_Rarely,21,11876.0,18,6,2,3,5,2,4.0,4,1,3,No,0
1115,42,Male,Married,Sales,Sales Representative,Technical Degree,Travel_Rarely,13,3417.0,13,6,4,6,1,1,2.0,1,1,3,No,1
1116,37,Female,Single,Research & Development,Laboratory Technician,Technical Degree,Travel_Rarely,20,3822.0,24,9,4,8,5,4,4.0,1,3,3,Yes,0
1117,31,Male,Single,Research & Development,Manufacturing Director,Medical,Travel_Rarely,19,10392.0,19,1,0,8,3,4,4.0,2,4,4,Yes,1
1118,43,Female,Married,Research & Development,Manufacturing Director,Human Resources,Non-Travel,11,11003.0,22,8,5,3,5,2,4.0,1,2,3,No,0
1119,45,Male,Married,Research & Development,Research Scientist,Life Sciences,Travel_Rarely,3,5601.0,14,9,8,4,4,4,4.0,2,3,3,Yes,0
1120,55,Male,Married,Research & Development,Manager,Other,Travel_Rarely,29,14144.0,21,18,13,4,1,2,1.0,1,1,3,Yes,0
1121,44,Male,Single,Research & Development,Manufacturing Director,Human Resources,Travel_Rarely,24,10407.0,12,9,5,0,3,3,2.0,4,1,3,No,1
1122,59,Male,Divorced,Research & Development,Manager,Technical Degree,Travel_Rarely,26,15533.0,11,22,11,1,4,1,2.0,3,4,3,Yes,1
1123,53,Male,Married,Sales,Sales Representative,Other,Travel_Rarely,9,4821.0,19,17,14,0,0,3,3.0,1,1,3,No,0
1124,23,Male,Divorced,Research & Development,Manufacturing Director,Marketing,Travel_Rarely,10,10171.0,11,1,1,6,3,1,4.0,3,2,3,No,0
1125,35,Male,Single,Sales,Sales Representative,Medical,Travel_Rarely,10,4093.0,14,8,4,2,2,1,3.0,3,3,3,Yes,1
1126,35,Male,Married,Research & Development,Manager,Life Sciences,Travel_Rarely,1,13418.0,22,9,6,6,0,4,3.0,2,1,3,No,0
1127,20,Male,Divorced,Sales,Manager,Other,Non-Travel,5,11637.0,17,0,0,3,5,1,4.0,4,4,4,Yes,0
1128,27,Male,Married,Sales,Manager,Marketing,Travel_Rarely,9,12992.0,16,3,1,7,1,2,3.0,4,3,3,Yes,0
1129,50,Female,Single,Sales,Sales Representative,Human Resources,Travel_Rarely,29,4627.0,15,5,4,1,5,4,3.0,4,2,3,No,0
1130,34,Female,Single,Research & Development,Manager,Medical,Travel_Rarely,6,13195.0,20,5,3,2,1,4,3.0,1,4,3,No,0
1131,25,Male,Single,Sales,Sales Representative,Other,Non-Travel,15,3295.0,24,0,0,1,3,2,1.0,2,3,4,No,1
1132,31,Female,Married,Human Resources,Human Resources,Other,Travel_Rarely,16,4139.0,21,5,2,3,2,1,3.0,4,3,3,No,0
1133,30,Male,Married,Research & Development,Manager,Medical,Travel_Rarely,11,14053.0,16,3,3,5,5,2,4.0,2,1,4,No,0
1134,26,Male,Single,Sales,Sales Executive,Marketing,Travel_Frequently,27,6145.0,16,2,1,1,5,3,4.0,2,1,3,No,0
1135,24,Female,Married,Research & Development,Manufacturing Director,Human Resources,Travel_Frequently,3,10329.0,12,0,0,6,4,2,4.0,2,1,3,No,0
1136,50,Female,Single,Sales,Sales Executive,Medical,Travel_Frequently,26,8260.0,13,13,3,8,5,3,4.0,2,3,3,No,0
1137,52,Female,Married,Human Resources,Manager,Life Sciences,Travel_Rarely,22,13162.0,14,10,9,0,4,4,2.0,3,4,3,No,0
1138,39,Male,Married,Research & Development,Laboratory Technician,Medical,Travel_Rarely,9,3951.0,16,7,6,0,1,3,1.0,1,4,3,Yes,1
1139,44,Female,Single,Research & Development,Laboratory Technician,Technical Degree,Travel_Rarely,23,3294.0,24,5,3,8,5,3,4.0,4,3,3,No,0
1140,56,Male,Single,Sales,Sales Representative,Life Sciences,Travel_Rarely,13,3816.0,23,3,1,5,3,3,2.0,3,1,4,No,1
1141,53,Male,Single,Research & Development,Laboratory Technician,Marketing,Travel_Rarely,29,4270.0,12,9,6,8,2,1,3.0,1,3,3,Yes,1
1142,21,Male,Single,Research & Development,Laboratory Technician,Other,Travel_Rarely,2,4727.0,15,1,1,6,1,3,1.0,4,3,3,No,0
1143,58,Female,Married,Human Resources,Human Resources,Life Sciences,Non-Travel,1,5042.0,11,5,4,6,4,4,4.0,3,3,3,No,0
1144,22,Male,Single,Research & Development,Manufacturing Director,Life Sciences,Travel_Rarely,16,10230.0,11,1,1,1,1,3,4.0,2,3,3,Yes,1
1145,21,Female,Single,Research & Development,Manager,Marketing,Travel_Rarely,28,12345.0,16,0,0,4,3,4,4.0,2,3,3,No,0
1146,36,Female,Divorced,Sales,Sales Representative,Life Sciences,Travel_Rarely,2,5144.0,24,7,3,3,0,4,1.0,3,3,4,No,0
1147,49,Female,Divorced,Sales,Sales Representative,Life Sciences,Travel_Frequently,23,3098.0,13,4,2,7,3,2,4.0,1,2,3,No,0
1148,23,Female,Single,Research & Development,Manager,Medical,Non-Travel,28,12010.0,20,1,1,0,3,2,3.0,3,1,3,No,0
1149,31,Female,Single,Research & Development,Manager,Life Sciences,Travel_Rarely,15,11096.0,16,2,1,0,3,4,1.0,3,1,3,No,0
1150,30,Male,Married,Sales,Sales Executive,Human Resources,Travel_Frequently,26,6955.0,18,1,0,5,3,2,3.0,2,4,3,No,1
1151,35,Male,Divorced,Research & Development,Manufacturing Director,Life Sciences,Travel_Rarely,22,10669.0,23,3,2,8,5,3,2.0,2,2,3,No,0
1152,59,Male,Divorced,Research & Development,Research Scientist,Technical Degree,Travel_Rarely,7,4563.0,22,8,4,8,5,3,3.0,3,2,3,Yes,0
1153,33,Male,Single,Sales,Sales Executive,Human Resources,Travel_Rarely,25,7841.0,22,4,3,5,2,1,1.0,3,2,3,No,0
1154,28,Male,Single,Research & Development,Manager,Technical Degree,Travel_Rarely,21,12169.0,16,5,2,3,5,2,3.0,2,1,3,No,0
1155,24,Male,Married,Sales,Sales Executive,Technical Degree,Travel_Rarely,1,6415.0,11,1,0,2,5,2,3.0,4,4,3,No,0
1156,27,Male,Divorced,Research & Development,Manager,Marketing,Travel_Frequently,17,12552.0,24,4,2,8,0,1,3.0,4,1,3,No,0
1157,25,Male,Divorced,Sales,Manager,Other,Travel_Rarely,19,13077.0,24,1,1,1,2,4,4.0,2,1,3,Yes,0
1158,42,Male,Single,Research & Development,Manager,Life Sciences,Travel_Frequently,24,11605.0,23,1,1,1,4,4,3.0,3,2,3,Yes,0
1159,36,Female,Married,Research & Development,Manufacturing Director,Life Sciences,Travel_Frequently,23,7141.0,17,2,1,4,3,4,3.0,4,2,4,Yes,0
1160,39,Male,Single,Research & Development,Manager,Other,Travel_Rarely,14,13065.0,14,5,3,3,0,1,1.0,1,1,3,No,1
1161,53,Female,Married,Sales,Sales Executive,Life Sciences,Travel_Rarely,9,7561.0,13,6,2,4,2,2,4.0,3,2,3,Yes,0
1162,43,Female,Divorced,Human Resources,Manager,Medical,Travel_Rarely,6,13803.0,16,12,8,8,2,1,2.0,4,4,4,No,0
1163,26,Male,Married,Sales,Sales Executive,Medical,Travel_Rarely,3,7197.0,15,2,2,2,4,1,3.0,1,2,3,No,1
1164,35,Female,Single,Sales,Sales Executive,Life Sciences,Travel_Rarely,19,6767.0,14,5,4,7,3,3,3.0,2,4,3,No,0
1165,32,Female,Married,Research & Development,Research Scientist,Life Sciences,Travel_Rarely,28,5693.0,24,4,1,1,0,4,4.0,4,2,3,No,0
1166,53,Female,Married,Research & Development,Laboratory Technician,Technical Degree,Travel_Frequently,3,3893.0,20,8,5,2,0,1,2.0,4,1,3,Yes,1
1167,32,Male,Divorced,Research & Development,Manufacturing Director,Technical Degree,Travel_Rarely,21,7141.0,14,4,2,0,1,3,2.0,4,1,3,No,0
1168,25,Male,Married,Research & Development,Laboratory Technician,Life Sciences,Travel_Rarely,17,3809.0,19,0,0,6,0,1,4.0,3,4,3,No,0
1169,49,Male,Divorced,Sales,Manager,Other,Travel_Rarely,5,11982.0,20,3,1,7,5,4,3.0,1,2,3,Yes,0
1170,37,Female,Single,Human Resources,Manager,Life Sciences,Travel_Rarely,7,12552.0,18,3,1,7,1,1,2.0,1,4,3,No,0
1171,23,Female,Single,Sales,Sales Representative,Human Resources,Travel_Rarely,9,2766.0,24,0,0,1,3,2,2.0,4,4,3,No,0
1172,47,Female,Single,Research & Development,Manager,Human Resources,Travel_Rarely,20,14832.0,24,11,8,6,0,1,4.0,3,1,3,Yes,1
1173,28,Female,Single,Sales,Sales Representative,Technical Degree,Travel_Rarely,9,4585.0,17,0,0,1,2,2,4.0,1,2,3,No,0
1174,54,Female,Single,Human Resources,Human Resources,Marketing,Travel_Rarely,25,4094.0,17,3,2,5,5,2,1.0,1,3,3,Yes,1
1175,53,Female,Married,Sales,Manager,Life Sciences,Travel_Rarely,11,14472.0,14,18,16,6,3,3,2.0,1,1,4,Yes,0
1176,34,Male,Single,Sales,Sales Representative,Medical,Travel_Rarely,4,4163.0,21,8,5,1,1,4,4.0,4,4,4,Yes,0
1177,42,Female,Single,Research & Development,Manufacturing Director,Other,Travel_Rarely,3,10311.0,24,6,3,0,4,4,1.0,4,1,3,No,0
1178,42,Male,Single,Human Resources,Human Resources,Marketing,Travel_Frequently,12,4712.0,20,7,5,0,3,2,1.0,4,4,3,No,1
1179,46,Male,Single,Research & Development,Research Scientist,Life Sciences,Travel_Rarely,12,5616.0,13,12,3,6,1,4,1.0,1,4,3,No,0
1180,22,Male,Divorced,Research & Development,Research Scientist,Human Resources,Travel_Frequently,22,3288.0,18,0,0,5,5,2,3.0,3,3,3,No,1
1181,32,Female,Divorced,Research & Development,Research Scientist,Human Resources,Travel_Rarely,14,4718.0,22,3,2,1,5,1,2.0,4,4,3,No,1
1182,26,Male,Single,Research & Development,Research Scientist,Life Sciences,Travel_Rarely,5,4175.0,11,0,0,4,3,3,2.0,3,4,3,No,1
1183,47,Male,Married,Research & Development,Manufacturing Director,Life Sciences,Travel_Rarely,7,10707.0,19,6,5,7,0,3,1.0,4,3,3,No,0
1184,22,Male,Married,Sales,Sales Executive,Life Sciences,Travel_Rarely,17,6573.0,20,1,1,2,2,2,3.0,3,3,3,No,0
1185,40,Male,Divorced,Research & Development,Manufacturing Director,Life Sciences,Travel_Rarely,10,10664.0,18,9,6,5,3,3,4.0,1,2,3,No,0
1186,49,Male,Married,Research & Development,Manager,Technical Degree,Travel_Rarely,20,14565.0,19,17,10,2,5,2,1.0,2,2,3,No,0
1187,57,Female,Single,Research & Development,Manager,Life Sciences,Travel_Frequently,27,14360.0,23,17,13,2,4,1,3.0,2,4,3,Yes,0
1188,31,Female,Married,Sales,Sales Representative,Technical Degree,Travel_Rarely,11,4518.0,12,4,3,3,1,2,4.0,1,1,3,No,1
1189,20,Male,Divorced,Research & Development,Research Scientist,Medical,Non-Travel,17,4497.0,18,0,0,3,3,2,3.0,3,2,3,Yes,1
1190,48,Male,Married,Sales,Manager,Other,Travel_Rarely,25,13201.0,22,11,10,4,1,2,3.0,4,3,4,No,0
1191,20,Male,Married,Human Resources,Human Resources,Human Resources,Travel_Rarely,7,4170.0,22,0,0,1,2,4,1.0,1,2,3,No,0
